Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
short,12,1.107142857142857,0.03020726212652842,2,2025-10-13,2025-10-20,0.3070661800532518,-0.3070661800532518
products,11,1.107142857142857,0.07271644582219843,2,2025-10-13,2025-10-20,0.31960461330139994,-0.31960461330139994
moment,12,1.0714285714285714,0.034316599206396396,2,2025-10-13,2025-10-20,0.29716081940637273,-0.29716081940637273
money,14,1.0357142857142856,0.29911267764566773,2,2025-10-13,2025-10-20,0.26742027866670254,-0.26742027866670254
look,17,1.0357142857142856,0.08843382456115842,4,2025-09-08,2025-10-20,0.24412019826678424,-0.24412019826678424
work,21,1.0357142857142856,0.2081851760215386,3,2025-09-08,2025-10-20,0.22081502765402505,-0.22081502765402505
spending,14,1.0357142857142856,0.29911267764566773,2,2025-10-13,2025-10-20,0.26742027866670254,-0.26742027866670254
feels,14,1.0,0.36321746764912255,1,2025-10-13,2025-10-13,0.2581988897471611,-0.2581988897471611
yes,13,0.9999999999999998,0.22431889478488337,2,2025-10-13,2025-10-20,0.26726124191242434,-0.26726124191242434
good,15,0.9642857142857144,0.06251507954413413,4,2025-09-29,2025-10-20,0.2410714285714286,-0.2410714285714286
night,10,0.9642857142857142,0.042094874926378346,2,2025-10-13,2025-10-20,0.2907430822714149,-0.2907430822714149
beautiful,14,0.9642857142857142,0.13094268433645706,3,2025-09-08,2025-10-20,0.24897750082761963,-0.24897750082761963
way,13,0.9642857142857141,0.29410651381143094,2,2025-10-13,2025-10-20,0.2577161975584092,-0.2577161975584092
goodness,10,0.9285714285714285,0.030714729184636674,2,2025-10-13,2025-10-20,0.2799748199650662,-0.2799748199650662
goodness right strong,10,0.9285714285714285,0.030714729184636674,2,2025-10-13,2025-10-20,0.2799748199650662,-0.2799748199650662
goodness right,10,0.9285714285714285,0.030714729184636674,2,2025-10-13,2025-10-20,0.2799748199650662,-0.2799748199650662
right strong,10,0.9285714285714285,0.030714729184636674,2,2025-10-13,2025-10-20,0.2799748199650662,-0.2799748199650662
fashion,30,0.9285714285714285,0.2129443764776025,5,2025-09-15,2025-10-20,0.16677635188200526,-0.16677635188200526
life,12,0.8928571428571429,0.2882606671269825,2,2025-10-13,2025-10-20,0.2476340161719773,-0.2476340161719773
little,12,0.8928571428571429,0.2882606671269825,2,2025-10-13,2025-10-20,0.2476340161719773,-0.2476340161719773
spend,12,0.8928571428571429,0.2882606671269825,2,2025-10-13,2025-10-20,0.2476340161719773,-0.2476340161719773
nail,9,0.8928571428571428,0.06035218589083692,2,2025-10-13,2025-10-20,0.282346219657891,-0.282346219657891
making,12,0.8928571428571428,0.06035218589083692,3,2025-10-06,2025-10-20,0.24763401617197728,-0.24763401617197728
getting,10,0.8928571428571428,0.03431659920639636,2,2025-10-13,2025-10-20,0.2692065576587175,-0.2692065576587175
secret,9,0.8928571428571428,0.06035218589083692,2,2025-10-13,2025-10-20,0.282346219657891,-0.282346219657891
street,13,0.8571428571428571,0.13434575667200727,3,2025-09-08,2025-10-20,0.22908106449636376,-0.22908106449636376
live,11,0.8571428571428571,0.19968878650937752,2,2025-10-13,2025-10-20,0.24743582965269675,-0.24743582965269675
makeup looks,10,0.8571428571428571,0.13842683516622287,2,2025-09-29,2025-10-20,0.2584382953523688,-0.2584382953523688
claire,11,0.8214285714285714,0.28134766105584413,2,2025-10-13,2025-10-20,0.23712600341716772,-0.23712600341716772
tried,9,0.8214285714285714,0.09596263303748376,2,2025-10-06,2025-10-20,0.2597585220852597,-0.2597585220852597
social,10,0.8214285714285714,0.10855410191477205,2,2025-10-13,2025-10-20,0.24767003304602012,-0.24767003304602012
use,10,0.8214285714285714,0.10855410191477205,2,2025-10-13,2025-10-20,0.24767003304602012,-0.24767003304602012
cute,9,0.8214285714285714,0.030295541470698933,2,2025-10-13,2025-10-20,0.2597585220852597,-0.2597585220852597
later,11,0.7857142857142857,0.36321746764912255,1,2025-10-13,2025-10-13,0.2268161771816387,-0.2268161771816387
people,12,0.7857142857142857,0.08084658029189128,3,2025-09-22,2025-10-20,0.21791793423134,-0.21791793423134
food,9,0.7857142857142857,0.044460791581261525,2,2025-10-13,2025-10-20,0.24846467329894406,-0.24846467329894406
today,11,0.7857142857142857,0.36321746764912255,1,2025-10-13,2025-10-13,0.2268161771816387,-0.2268161771816387
plan,11,0.7857142857142857,0.36321746764912255,1,2025-10-13,2025-10-13,0.2268161771816387,-0.2268161771816387
gets,9,0.75,0.08855680204602341,2,2025-10-13,2025-10-20,0.23717082451262844,-0.23717082451262844
like goodness right,8,0.75,0.03223468576910019,2,2025-10-13,2025-10-20,0.25,-0.25
purchase,10,0.75,0.27305144714452206,2,2025-10-13,2025-10-20,0.22613350843332272,-0.22613350843332272
ytshorts,7,0.75,0.14381080871160368,1,2025-10-20,2025-10-20,0.2651650429449553,-0.2651650429449553
haircare,7,0.75,0.14381080871160368,1,2025-10-20,2025-10-20,0.2651650429449553,-0.2651650429449553
like goodness,8,0.75,0.03223468576910019,2,2025-10-13,2025-10-20,0.25,-0.25
doesn,9,0.75,0.08855680204602341,2,2025-10-13,2025-10-20,0.23717082451262844,-0.23717082451262844
remember,10,0.75,0.27305144714452206,2,2025-10-13,2025-10-20,0.22613350843332272,-0.22613350843332272
strong like goodness,8,0.75,0.03223468576910019,2,2025-10-13,2025-10-20,0.25,-0.25
bed,10,0.75,0.27305144714452206,2,2025-10-13,2025-10-20,0.22613350843332272,-0.22613350843332272
tutorial,7,0.75,0.14381080871160368,1,2025-10-20,2025-10-20,0.2651650429449553,-0.2651650429449553
strong like,8,0.75,0.03223468576910019,2,2025-10-13,2025-10-20,0.25,-0.25
trend skincareroutine,7,0.75,0.14381080871160368,1,2025-10-20,2025-10-20,0.2651650429449553,-0.2651650429449553
chinese,7,0.7142857142857142,0.08618482745881664,2,2025-10-13,2025-10-20,0.25253813613805265,-0.25253813613805265
straight,9,0.7142857142857142,0.1656844086120797,2,2025-10-13,2025-10-20,0.22587697572631277,-0.22587697572631277
black,7,0.7142857142857142,0.08618482745881664,2,2025-10-13,2025-10-20,0.25253813613805265,-0.25253813613805265
place,9,0.7142857142857142,0.1656844086120797,2,2025-10-13,2025-10-20,0.22587697572631277,-0.22587697572631277
month,8,0.7142857142857142,0.03431659920639646,2,2025-10-13,2025-10-20,0.23809523809523805,-0.23809523809523805
marie,14,0.7142857142857142,0.37013661420891464,2,2025-09-29,2025-10-13,0.18442777839082936,-0.18442777839082936
glow,7,0.7142857142857142,0.08618482745881664,2,2025-10-13,2025-10-20,0.25253813613805265,-0.25253813613805265
hair,16,0.7142857142857142,0.17822685675778593,4,2025-09-08,2025-10-20,0.17323973216880925,-0.17323973216880925
marie claire,10,0.7142857142857142,0.36321746764912255,1,2025-10-13,2025-10-13,0.215365246126974,-0.215365246126974
sign,8,0.7142857142857142,0.03431659920639646,2,2025-10-13,2025-10-20,0.23809523809523805,-0.23809523809523805
things,10,0.7142857142857142,0.36321746764912255,1,2025-10-13,2025-10-13,0.215365246126974,-0.215365246126974
actually,16,0.6785714285714285,0.30123333626868337,4,2025-09-08,2025-10-20,0.16457774556036878,-0.16457774556036878
year,12,0.6785714285714285,0.1931526141279771,3,2025-09-15,2025-10-20,0.18820185229070271,-0.18820185229070271
fall,67,0.6785714285714285,0.5900519936956523,7,2025-09-08,2025-10-20,0.08228887278018439,-0.08228887278018439
days,8,0.6785714285714285,0.0679502633678881,2,2025-10-13,2025-10-20,0.22619047619047616,-0.22619047619047616
mac,7,0.6785714285714285,0.04485524270447415,2,2025-10-13,2025-10-20,0.23991122933115,-0.23991122933115
beautytips haircare skincareroutine,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
trend beautytips,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
trend beautytips haircare,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
totkay,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
care tips shortvideo,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
viral trending,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
viral trending trend,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
beautytips,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
better,9,0.6428571428571428,0.025581586881955033,3,2025-09-29,2025-10-20,0.2032892781536815,-0.2032892781536815
sleep,7,0.6428571428571428,0.030099247897462548,2,2025-10-13,2025-10-20,0.22728432252424738,-0.22728432252424738
stop,8,0.6428571428571428,0.14381080871160384,2,2025-10-13,2025-10-20,0.21428571428571427,-0.21428571428571427
tips shortvideo viral,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
buy,8,0.6428571428571428,0.14381080871160384,2,2025-10-13,2025-10-20,0.21428571428571427,-0.21428571428571427
care tips,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
think,16,0.6428571428571428,0.2821798590300505,4,2025-09-08,2025-10-20,0.15591575895192833,-0.15591575895192833
tiktok trending trend,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
tiktok trending,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
tips,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
tips shortvideo,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
transformation,7,0.6428571428571428,0.030099247897462548,2,2025-10-13,2025-10-20,0.22728432252424738,-0.22728432252424738
transition,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
totkay naturalbeauty hairtreatment,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
totkay naturalbeauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
beauty tiktok,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
trendingvideo beautytrends,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
trend skincareroutine beauty,6,0.6428571428571428,0.14381080871160384,1,2025-10-20,2025-10-20,0.24297716122021748,-0.24297716122021748
