Term,Total,slope,pvalue,weeks_present,first_seen,last_seen
street,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
human,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
high,25,4.6000000000000005,0.1339280560634362,3,2025-09-08,2025-09-22
right,23,4.6000000000000005,0.1816901138162091,1,2025-09-22,2025-09-22
making,24,4.6000000000000005,0.141446943602558,2,2025-09-15,2025-09-22
current,24,4.5,0.12152456351760468,2,2025-09-15,2025-09-22
decor design,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
decor christmas,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
winter,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
navidad como,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
decor design trends,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
como decorar decor,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
trends home decor,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
trends tendencias,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
tendencias navidad como,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
tendencias navidad,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
home decor christmas,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
trends tendencias navidad,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
christmas trends tendencias,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
decorar decor design,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
navidad como decorar,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
como decorar,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
decorar decor,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
decorar,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
sports,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
spaces,22,4.4,0.1816901138162091,1,2025-09-22,2025-09-22
build,22,4.3,0.15979642584003995,2,2025-09-15,2025-09-22
asian,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
handmade,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
step,23,4.2,0.09915843377482368,2,2025-09-15,2025-09-22
studio,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
tiny apartment,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
apartment decor ideas,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
kitchen,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
men shoes,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
decor idea,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
trends fashion trends,21,4.2,0.1816901138162091,1,2025-09-22,2025-09-22
using,23,4.1000000000000005,0.1446691657893422,3,2025-09-01,2025-09-22
people,21,4.1000000000000005,0.15874758599127067,2,2025-09-15,2025-09-22
inspired,21,4.1000000000000005,0.15874758599127067,2,2025-09-15,2025-09-22
youtube,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
yankodesign com,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
https www yankodesign,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
class medium feed,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
fashion trend,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
help,22,4.0,0.09570892463402966,2,2025-09-15,2025-09-22
target,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
stay,22,4.0,0.09570892463402966,2,2025-09-15,2025-09-22
shift,21,4.0,0.17444697590622318,2,2025-09-08,2025-09-22
small apartment decor,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
chinese,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
post thumbnail,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
medium feed,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
experience,22,4.0,0.16662280399648582,3,2025-09-01,2025-09-22
yankodesign,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
width,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
www yankodesign com,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
www yankodesign,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
class medium,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
chic,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
feed,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
did,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
architecture,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
thumbnail,20,4.0,0.18169011381620928,1,2025-09-22,2025-09-22
prototype,20,3.9000000000000004,0.1575935964685607,2,2025-09-15,2025-09-22
ve,22,3.9000000000000004,0.18273477939506416,3,2025-08-25,2025-09-22
actually,19,3.8000000000000003,0.1816901138162091,1,2025-09-22,2025-09-22
live,20,3.8000000000000003,0.1741063678838457,2,2025-09-08,2025-09-22
season,19,3.8000000000000003,0.1816901138162091,1,2025-09-22,2025-09-22
ideas home,19,3.8000000000000003,0.1816901138162091,1,2025-09-22,2025-09-22
creating,20,3.8000000000000003,0.13342102042180437,2,2025-09-15,2025-09-22
instead,19,3.8000000000000003,0.1816901138162091,1,2025-09-22,2025-09-22
haul,20,3.8000000000000003,0.13342102042180437,2,2025-09-15,2025-09-22
ultimate,19,3.8000000000000003,0.1816901138162091,1,2025-09-22,2025-09-22
trends graphic design,25,3.8000000000000003,0.07403602511841767,3,2025-09-01,2025-09-22
trends graphic,25,3.8000000000000003,0.07403602511841767,3,2025-09-01,2025-09-22
week,19,3.7,0.1563178867238277,2,2025-09-15,2025-09-22
today,19,3.7,0.1563178867238277,2,2025-09-15,2025-09-22
autumn,18,3.6,0.1816901138162091,1,2025-09-22,2025-09-22
wear,18,3.6,0.1816901138162091,1,2025-09-22,2025-09-22
sports shoes,18,3.6,0.1816901138162091,1,2025-09-22,2025-09-22
tips,31,3.6,0.13089966633806427,5,2025-08-25,2025-09-22
smart,18,3.6,0.1816901138162091,1,2025-09-22,2025-09-22
quality,18,3.6,0.1816901138162091,1,2025-09-22,2025-09-22
learn,19,3.6,0.13089966633806427,2,2025-09-15,2025-09-22
level,18,3.6,0.1816901138162091,1,2025-09-22,2025-09-22
makes,19,3.6,0.13089966633806427,2,2025-09-15,2025-09-22
home decor idea,18,3.6,0.1816901138162091,1,2025-09-22,2025-09-22
logo,22,3.5,0.040644067081716195,2,2025-09-15,2025-09-22
products,18,3.5,0.15490023221745977,2,2025-09-15,2025-09-22
london,18,3.5,0.15490023221745977,2,2025-09-15,2025-09-22
bold,24,3.5,0.24029530740152136,3,2025-08-25,2025-09-22
design trends graphic,19,3.4000000000000004,0.08370931397023085,2,2025-09-15,2025-09-22
outfits,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
lot,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
ootd,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
shirt,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
genius tiny,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
looking,18,3.4000000000000004,0.12810760850826444,2,2025-09-15,2025-09-22
genius tiny apartment,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
tiny apartment decor,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
time,24,3.4000000000000004,0.08019668217164702,4,2025-09-01,2025-09-22
vintage,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
ytshorts,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
site,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
fashion fashiontrends,17,3.4000000000000004,0.1816901138162091,1,2025-09-22,2025-09-22
process,17,3.3000000000000003,0.1533156961317103,2,2025-09-15,2025-09-22
feel,17,3.3000000000000003,0.1533156961317103,2,2025-09-15,2025-09-22
html,19,3.3000000000000003,0.06449958719854475,2,2025-09-15,2025-09-22
think,18,3.2,0.2118728528958342,2,2025-08-25,2025-09-22
end,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
source,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
men fashion trends,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
bring,17,3.2,0.1250005406497315,2,2025-09-15,2025-09-22
elegance,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
problem,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
generate,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
seasonal,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
image,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
graphicdesign,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
small spaces,16,3.2,0.18169011381620928,1,2025-09-22,2025-09-22
sneakers,16,3.1000000000000005,0.15153318431291582,2,2025-09-15,2025-09-22
functional,17,3.1,0.09803630890296286,2,2025-09-15,2025-09-22
websites,20,3.1,0.044507979322280414,2,2025-09-15,2025-09-22
ll,18,3.1,0.13371179357794774,3,2025-09-01,2025-09-22
wondered,16,3.0000000000000004,0.12152456351760453,2,2025-09-15,2025-09-22
wholesale,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
height src https,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
interiordesign,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
height,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
ladies,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
designers stay,17,3.0,0.07415711809735438,2,2025-09-15,2025-09-22
shoes fashion trend,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
width class,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
height src,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
love,17,3.0,0.07415711809735438,2,2025-09-15,2025-09-22
div class,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
shoes fashion,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
outfit ideas,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
principles,18,3.0,0.20746816957672712,2,2025-09-01,2025-09-22
sports shoes fashion,15,3.0,0.1816901138162091,1,2025-09-22,2025-09-22
