Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
figure,109,11.678571428571427,0.14381080871160384,1,2025-11-24,2025-11-24,1.113508095297531,-1.113508095297531,1.113508095297531
available,93,9.964285714285714,0.14381080871160384,1,2025-11-24,2025-11-24,1.0277375989507262,-1.0277375989507262,1.0277375989507262
height src,91,9.75,0.14381080871160384,1,2025-11-24,2025-11-24,1.0165077685282395,-1.0165077685282395,1.0165077685282395
height src width,91,9.75,0.14381080871160384,1,2025-11-24,2025-11-24,1.0165077685282395,-1.0165077685282395,1.0165077685282395
src width,91,9.75,0.14381080871160384,1,2025-11-24,2025-11-24,1.0165077685282395,-1.0165077685282395,1.0165077685282395
src width figcaption,91,9.75,0.14381080871160384,1,2025-11-24,2025-11-24,1.0165077685282395,-1.0165077685282395,1.0165077685282395
width figcaption,91,9.75,0.14381080871160384,1,2025-11-24,2025-11-24,1.0165077685282395,-1.0165077685282395,1.0165077685282395
text,72,7.7142857142857135,0.14381080871160384,1,2025-11-24,2025-11-24,0.9028888497987215,-0.9028888497987215,0.9028888497987215
line,73,7.535714285714286,0.14644476862486608,2,2025-10-27,2025-11-24,0.8760089919623524,-0.8760089919623524,0.8760089919623524
like,71,7.392857142857142,0.14153911027125707,2,2025-11-03,2025-11-24,0.8712565696762817,-0.8712565696762817,0.8712565696762817
cherry,65,6.9642857142857135,0.14381080871160384,1,2025-11-24,2025-11-24,0.8572443121774956,-0.8572443121774956,0.8572443121774956
available height,64,6.857142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.8505238943260008,-0.8505238943260008,0.8505238943260008
available height src,64,6.857142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.8505238943260008,-0.8505238943260008,0.8505238943260008
black,67,6.9642857142857135,0.1414130984933352,2,2025-11-03,2025-11-24,0.8445436943229451,-0.8445436943229451,0.8445436943229451
right,77,7.321428571428571,0.15717267942051083,3,2025-10-20,2025-11-24,0.8289885428558647,-0.8289885428558647,0.8289885428558647
size,57,6.107142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.8019071435361627,-0.8019071435361627,0.8019071435361627
family,56,6.0,0.14381080871160368,1,2025-11-24,2025-11-24,0.7947194142390263,-0.7947194142390263,0.7947194142390263
figure img,54,5.785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.7801455551360372,-0.7801455551360372,0.7801455551360372
img,54,5.785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.7801455551360372,-0.7801455551360372,0.7801455551360372
time,52,5.571428571428571,0.14381080871160384,1,2025-11-24,2025-11-24,0.7652945705712674,-0.7652945705712674,0.7652945705712674
gift,51,5.464285714285714,0.14381080871160368,1,2025-11-24,2025-11-24,0.7577600894862505,-0.7577600894862505,0.7577600894862505
friday,49,5.25,0.14381080871160384,1,2025-11-24,2025-11-24,0.7424621202458749,-0.7424621202458749,0.7424621202458749
skin,73,6.2142857142857135,0.04510293972465509,6,2025-10-20,2025-11-24,0.7223960407651626,-0.7223960407651626,0.7223960407651626
black friday,46,4.928571428571428,0.14381080871160384,1,2025-11-24,2025-11-24,0.7189060295253373,-0.7189060295253373,0.7189060295253373
november,45,4.821428571428571,0.14381080871160368,1,2025-11-24,2025-11-24,0.7108808600325397,-0.7108808600325397,0.7108808600325397
limited,41,4.392857142857142,0.14381080871160384,1,2025-11-24,2025-11-24,0.6778325730477608,-0.6778325730477608,0.6778325730477608
viral,65,5.5,0.09101176416912866,4,2025-10-20,2025-11-24,0.67700320038633,-0.67700320038633,0.67700320038633
shop,51,4.75,0.16875257396131535,2,2025-10-20,2025-11-24,0.6587064830174596,-0.6587064830174596,0.6587064830174596
new,63,5.25,0.025536517128391507,4,2025-10-27,2025-11-24,0.65625,-0.65625,0.65625
code,38,4.07142857142857,0.14381080871160384,1,2025-11-24,2025-11-24,0.6519503404921403,-0.6519503404921403,0.6519503404921403
instagram,36,3.8571428571428568,0.14381080871160384,1,2025-11-24,2025-11-24,0.6341103796063781,-0.6341103796063781,0.6341103796063781
hand,32,3.4285714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.5968376775623926,-0.5968376775623926,0.5968376775623926
november rel,32,3.4285714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.5968376775623926,-0.5968376775623926,0.5968376775623926
november rel noreferrer,32,3.4285714285714284,0.14381080871160384,1,2025-11-24,2025-11-24,0.5968376775623926,-0.5968376775623926,0.5968376775623926
winter,49,4.214285714285714,0.055934163325035,4,2025-10-20,2025-11-24,0.5959900012858044,-0.5959900012858044,0.5959900012858044
strong strong,30,3.214285714285714,0.14381080871160384,1,2025-11-24,2025-11-24,0.5773027565146336,-0.5773027565146336,0.5773027565146336
fragrance,29,3.1071428571428568,0.14381080871160384,1,2025-11-24,2025-11-24,0.5672840774160648,-0.5672840774160648,0.5672840774160648
year,30,3.071428571428571,0.12711304245257107,2,2025-11-10,2025-11-24,0.5516448562250943,-0.5516448562250943,0.5516448562250943
