Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
trend,55,1.3928571428571428,0.030714729184636674,7,2025-10-13,2025-11-24,0.18612836490329554,-0.18612836490329554
wall,13,1.3928571428571428,0.14381080871160384,1,2025-11-24,2025-11-24,0.3722567298065911,-0.3722567298065911
viral,21,1.3928571428571428,0.13148289084870066,3,2025-10-20,2025-11-24,0.29695814063817166,-0.29695814063817166
interiordesign,13,1.3928571428571428,0.14381080871160384,1,2025-11-24,2025-11-24,0.3722567298065911,-0.3722567298065911
modern,38,1.357142857142857,0.3634607453912004,4,2025-10-13,2025-11-24,0.2173167801640468,-0.2173167801640468
genius,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727
spaces,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727
video,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727
apartment decor,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727
architects,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727
digest,22,1.2857142857142856,0.04458482350979883,4,2025-10-20,2025-11-24,0.2680899609305247,-0.2680899609305247
decoration,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727
title,12,1.2857142857142856,0.14381080871160384,1,2025-11-24,2025-11-24,0.35659298328764727,-0.35659298328764727
according designers,32,1.2857142857142856,0.07820645687134012,5,2025-10-27,2025-11-24,0.2238141290858972,-0.2238141290858972
christmas decor,18,1.2142857142857142,0.08365835564220356,3,2025-10-27,2025-11-24,0.2785762482713964,-0.2785762482713964
living room,18,1.2142857142857142,0.024570697999745063,4,2025-10-27,2025-11-24,0.2785762482713964,-0.2785762482713964
center,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807
home decor ideas,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807
genius tiny apartment,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807
design ideas,11,1.1785714285714286,0.14381080871160384,1,2025-11-24,2025-11-24,0.34022426577245807,-0.34022426577245807
