Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
feed,18,1.2857142857142856,0.36321746764912255,1,2025-11-17,2025-11-17,0.2949630864050079,-0.2949630864050079,0.2949630864050079
thinking,17,1.2142857142857142,0.36321746764912255,1,2025-11-17,2025-11-17,0.2862098876231264,-0.2862098876231264,0.2862098876231264
users,17,1.2142857142857142,0.36321746764912255,1,2025-11-17,2025-11-17,0.2862098876231264,-0.2862098876231264,0.2862098876231264
video,21,1.3214285714285714,0.0630551944522173,5,2025-10-20,2025-11-24,0.28172951804134233,-0.28172951804134233,0.28172951804134233
class medium,16,1.142857142857143,0.36321746764912255,1,2025-11-17,2025-11-17,0.27718357147009487,-0.27718357147009487,0.27718357147009487
class medium feed,16,1.142857142857143,0.36321746764912255,1,2025-11-17,2025-11-17,0.27718357147009487,-0.27718357147009487,0.27718357147009487
medium feed,16,1.142857142857143,0.36321746764912255,1,2025-11-17,2025-11-17,0.27718357147009487,-0.27718357147009487,0.27718357147009487
collective,14,1.0714285714285714,0.23416146533120613,2,2025-11-17,2025-11-24,0.27664166758624403,-0.27664166758624403,0.27664166758624403
build,15,1.0714285714285714,0.27437189669976475,3,2025-11-10,2025-11-24,0.26785714285714285,-0.26785714285714285,0.26785714285714285
things,14,1.0357142857142856,0.29911267764566773,2,2025-11-17,2025-11-24,0.26742027866670254,-0.26742027866670254,0.26742027866670254
open,16,1.0714285714285714,0.3584804069375127,2,2025-11-03,2025-11-17,0.25985959825321386,-0.25985959825321386,0.25985959825321386
better,14,1.0,0.36321746764912255,1,2025-11-17,2025-11-17,0.2581988897471611,-0.2581988897471611,0.2581988897471611
come,14,1.0,0.36321746764912255,1,2025-11-17,2025-11-17,0.2581988897471611,-0.2581988897471611,0.2581988897471611
create,14,1.0,0.025031015818452913,4,2025-11-03,2025-11-24,0.2581988897471611,-0.2581988897471611,0.2581988897471611
thing,14,1.0,0.36321746764912255,1,2025-11-17,2025-11-17,0.2581988897471611,-0.2581988897471611,0.2581988897471611
editing,11,0.8928571428571428,0.1270646438707627,2,2025-11-17,2025-11-24,0.2577456558882258,-0.2577456558882258,0.2577456558882258
photoshop,11,0.8928571428571428,0.1270646438707627,2,2025-11-17,2025-11-24,0.2577456558882258,-0.2577456558882258,0.2577456558882258
building,13,0.9642857142857141,0.13419390623931846,3,2025-11-03,2025-11-24,0.2577161975584092,-0.2577161975584092,0.2577161975584092
group,13,0.9285714285714284,0.3632174676491228,1,2025-11-17,2025-11-17,0.24817115320439403,-0.24817115320439403,0.24817115320439403
know,18,1.0714285714285714,0.11284860067674203,4,2025-10-27,2025-11-24,0.2458025720041733,-0.2458025720041733,0.2458025720041733
web design,31,1.3571428571428574,0.13663762351685102,5,2025-10-20,2025-11-24,0.23991122933115008,-0.23991122933115008,0.23991122933115008
right,13,0.8928571428571427,0.3358829092029071,2,2025-11-10,2025-11-17,0.23862610885037888,-0.23862610885037888,0.23862610885037888
animation,12,0.8571428571428572,0.25028346532672946,3,2025-11-10,2025-11-24,0.23772865552509823,-0.23772865552509823,0.23772865552509823
blockquote,12,0.8571428571428572,0.36321746764912255,1,2025-11-17,2025-11-17,0.23772865552509823,-0.23772865552509823,0.23772865552509823
did,12,0.8571428571428572,0.36321746764912255,1,2025-11-17,2025-11-17,0.23772865552509823,-0.23772865552509823,0.23772865552509823
didn,12,0.8571428571428572,0.36321746764912255,1,2025-11-17,2025-11-17,0.23772865552509823,-0.23772865552509823,0.23772865552509823
great,12,0.8571428571428572,0.36321746764912255,1,2025-11-17,2025-11-17,0.23772865552509823,-0.23772865552509823,0.23772865552509823
life,12,0.8571428571428572,0.36321746764912255,1,2025-11-17,2025-11-17,0.23772865552509823,-0.23772865552509823,0.23772865552509823
use,16,0.9642857142857142,0.28621767790510927,3,2025-11-03,2025-11-24,0.2338736384278925,-0.2338736384278925,0.2338736384278925
new,20,1.0714285714285712,0.33714917799052463,5,2025-10-20,2025-11-24,0.23380488239570607,-0.23380488239570607,0.23380488239570607
designed,14,0.8928571428571428,0.3785513736397347,2,2025-10-27,2025-11-17,0.2305347229885367,-0.2305347229885367,0.2305347229885367
easy,13,0.857142857142857,0.2483422887967796,3,2025-10-20,2025-11-24,0.22908106449636373,-0.22908106449636373,0.22908106449636373
source,13,0.857142857142857,0.35765590533224534,2,2025-11-03,2025-11-17,0.22908106449636373,-0.22908106449636373,0.22908106449636373
