Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down
caps latest,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
drops short brings,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
carpet,6,0.5714285714285714,0.03674259800515245,2,2026-02-16,2026-02-23,0.21597969886241553,-0.21597969886241553
trend new york,6,0.5714285714285714,0.03674259800515245,2,2026-02-16,2026-02-23,0.21597969886241553,-0.21597969886241553
trend new,6,0.5714285714285714,0.03674259800515245,2,2026-02-16,2026-02-23,0.21597969886241553,-0.21597969886241553
streetwear inspo,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
streetwear inspo hoodies,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
jorts caps,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
inspo,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
jorts,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
inspo hoodies jorts,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
latest sneaker,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
latest sneaker drops,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
hoodies jorts,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
hoodies jorts caps,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
inspo hoodies,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
journal,6,0.5714285714285714,0.03674259800515245,2,2026-02-16,2026-02-23,0.21597969886241553,-0.21597969886241553
jorts caps latest,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
met,6,0.5714285714285714,0.03674259800515245,2,2026-02-16,2026-02-23,0.21597969886241553,-0.21597969886241553
sneaker drops short,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
sneaker drops,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
short brings,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
short brings best,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
red carpet,6,0.5714285714285714,0.03674259800515245,2,2026-02-16,2026-02-23,0.21597969886241553,-0.21597969886241553
best streetwear,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
brings best streetwear,7,0.5714285714285714,0.11802214683397917,2,2026-02-16,2026-02-23,0.20203050891044214,-0.20203050891044214
