Term,Total,slope,pvalue,weeks_present,first_seen,last_seen,score_up,score_down,score
things,6,0.6428571428571428,0.14381080871160395,1,2026-08-10,2026-08-10,0.24297716122021748,-0.24297716122021748,0.24297716122021748
tutorial,6,0.6428571428571428,0.14381080871160395,1,2026-08-10,2026-08-10,0.24297716122021748,-0.24297716122021748,0.24297716122021748
conversation,7,0.6785714285714285,0.044855242704474156,2,2026-08-03,2026-08-10,0.23991122933115,-0.23991122933115,0.23991122933115
google,7,0.6785714285714285,0.044855242704474156,2,2026-08-03,2026-08-10,0.23991122933115,-0.23991122933115,0.23991122933115
smart,7,0.6785714285714285,0.044855242704474156,2,2026-08-03,2026-08-10,0.23991122933115,-0.23991122933115,0.23991122933115
story,7,0.6785714285714285,0.044855242704474156,2,2026-08-03,2026-08-10,0.23991122933115,-0.23991122933115,0.23991122933115
change,8,0.7142857142857142,0.02154891290989738,3,2026-07-27,2026-08-10,0.23809523809523805,-0.23809523809523805,0.23809523809523805
alt height,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
alt height src,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
away,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
collective medium,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
collective medium people,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
continuing,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
continuing conversation,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
continuing conversation highlighting,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
control,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
conversation highlighting,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
conversation highlighting responding,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
height,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
height src,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
height src width,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
highlighting,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
highlighting responding,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
highlighting responding story,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
job,6,0.6071428571428571,0.07778953814545005,2,2026-08-03,2026-08-10,0.2294784300413165,-0.2294784300413165,0.2294784300413165
